-6 -12
5 11
3 -31
4 26
-3 5
-14 -2
8 28
13 -11
-60 -44
18 -30
-8 -4
-31 17
2 -14
40 -10
15 15
26 16
-10 4
7 3
-3 -9
3 -15
-16 -18
4 50
31 9
6 26
16 -8
24 -16
-6 -8
-35 -3
8 10
6 6
-34 -26
-19 -11
28 -16
6 48
-6 -4
27 45
-20 4
12 2
3 -13
-8 -16
22 20
-6 12
-6 20
6 -38
1 -11
-28 -26
9 -11
-10 -34
4 -4
-20 -6
-4 -16
-32 2
-31 17
-37 -3
39 15
-61 9
10 -10
11 9
-25 -37
15 -7
18 -4
-10 30
20 8
-12 28
-8 26
4 18
-16 26
41 33
36 -28
-12 -22
-17 9
-14 6
-29 -35
34 -44
6 -10
-18 42
17 -19
-5 21
-9 17
41 -17
-4 -30
22 -4
14 -42
4 38
25 5
26 24
-41 11
-3 -5
-15 -9
21 -9
-24 -6
-16 0
-18 2
3 -1
-13 -13
7 1
-18 -12
-13 -1
-13 23
-19 -25
1 21
-20 30
22 16
-10 12
17 -3
-25 9
33 41
28 40
13 -9
38 -16
-5 1
16 -10
12 -10
10 0
-10 20
-4 -4
1 7
15 5
-32 -18
-6 -2
-16 -12
5 13
-6 -16
50 -2
-6 10
-11 43
26 10
19 -11
17 19
-38 8
11 -7
-36 14
-13 11
-33 5
-2 -22
40 -6
-6 -22
-4 -16
4 8
10 -24
-41 -17
-18 -18
-3 -45
-38 -10
-9 -7
-9 23
-23 45
39 15
14 16
-7 -21
-25 -13
4 -2
-7 -3
18 2
-19 15
-10 14
-15 15
12 -30
3 -13
-18 12
15 3
61 55
13 -5
6 0
11 -9
37 15
-37 -19
-22 -36
-29 -25
10 -16
43 3
-18 -20
26 40
10 4
-16 6
-26 -2
24 -16
-22 -6
-12 -20
-4 -26
-36 14
-53 -3
38 0
23 15
20 -22
-2 32
-30 -10
-1 -13
10 -10
-31 -13
5 5
-42 14
-2 8
0 24
-27 27
29 -1
-11 1
-12 18
-7 3
-3 13
4 2
19 -35
-34 22
-16 -20
20 4
-55 3
14 2
-36 -22
-5 -11
4 2
1 -11
-1 -3
11 -45
-20 16
11 -1
7 -7
6 -6
16 -2
18 -56
35 1
16 -8
2 6
-10 0
-1 -33
36 -14
-5 21
36 -24
-9 -35
4 -18
5 13
10 -28
-11 15
13 -7
25 29
10 34
-32 -4
24 -26
-40 14
-20 -8
-2 -32
8 38
-29 -37
13 25
-10 -26
31 -3
-21 -9
-21 -9
24 -10
-9 1
-26 50
10 -2
25 -7
10 10
15 53
-23 1
13 -43
-40 -4
0 -6
-11 -25
6 28
-9 27
-20 4
-42 -2
-28 -48
-21 -5
29 -23
21 -5
-44 6
21 7
-35 27
44 -8
28 32
-31 -7
0 -28
-18 -8
25 -27
-19 3
-45 -7
2 0
21 33
-13 17
9 -5
-5 -5
-40 18
-5 -11
-15 41
-24 -6
8 34
-21 -5
19 -33
36 -2
39 37
-11 7
-7 -19
-7 1
20 8
-5 -29
20 -4
-13 -3
13 -7
27 15
-13 -27
-13 -7
-20 4
19 -9
19 25
-49 -3
3 -13
7 9
-1 -17
13 -3
19 37
-16 -24
-17 -41
-6 12
-7 -13
-31 15
1 -21
18 6
-2 -2
23 1
12 0
30 10
24 -16
41 -31
2 -24
-8 -32
-21 3
-58 -12
-27 5
-24 -6
28 20
16 22
23 25
30 -22
-49 -35
-3 -9
2 -10
-17 27
7 47
-17 -31
9 3
9 9
-9 25
-3 17
12 -18
-19 -33
14 -6
36 -34
-8 14
22 14
24 10
-1 -13
12 -4
32 16
33 -15
4 -10
-13 3
-16 2
-8 18
3 29
18 6
-10 4
10 6
26 -8
0 -14
9 15
-11 -11
13 -1
30 -18
-23 -3
-24 0
22 24
-25 -17
2 -28
-51 51
10 2
-6 -4
32 14
-24 -4
13 15
-27 -15
-24 20
5 -27
-9 5
25 1
-21 -35
-17 -23
-5 13
-40 22
27 -23
-28 40
-9 -37
-30 6
13 -5
18 -6
26 -2
3 49
-9 -5
